,Gestational_Age,State,Race,month_care_began,num_births
0,1.0,6.0,3,1.0,16.0
1,1.0,6.0,3,2.0,19.0
2,1.0,6.0,3,3.0,11.0
3,1.0,12.0,2,2.0,10.0
4,1.0,12.0,2,3.0,11.0
5,1.0,12.0,3,3.0,11.0
6,1.0,12.0,3,99.0,11.0
7,1.0,13.0,2,2.0,22.0
8,1.0,13.0,2,3.0,11.0
9,1.0,13.0,2,99.0,12.0
10,1.0,17.0,2,2.0,12.0
11,1.0,17.0,3,2.0,13.0
12,1.0,22.0,2,2.0,16.0
13,1.0,29.0,2,2.0,10.0
14,1.0,34.0,2,98.0,16.0
15,1.0,34.0,3,98.0,13.0
16,1.0,36.0,3,2.0,15.0
17,1.0,36.0,3,3.0,10.0
18,1.0,37.0,2,3.0,11.0
19,1.0,37.0,3,2.0,10.0
20,1.0,37.0,3,3.0,13.0
21,1.0,39.0,2,2.0,13.0
22,1.0,39.0,3,2.0,19.0
23,1.0,39.0,3,3.0,10.0
24,1.0,42.0,2,0.0,16.0
25,1.0,42.0,2,3.0,12.0
26,1.0,42.0,3,2.0,13.0
27,1.0,42.0,3,3.0,10.0
28,1.0,48.0,2,0.0,13.0
29,1.0,48.0,2,2.0,10.0
30,1.0,48.0,3,0.0,14.0
31,1.0,48.0,3,2.0,24.0
32,1.0,48.0,3,3.0,22.0
33,2.0,1.0,2,0.0,30.0
34,2.0,1.0,2,1.0,46.0
35,2.0,1.0,2,2.0,94.0
36,2.0,1.0,2,3.0,94.0
37,2.0,1.0,2,4.0,46.0
38,2.0,1.0,2,5.0,26.0
39,2.0,1.0,2,6.0,14.0
40,2.0,1.0,3,0.0,16.0
41,2.0,1.0,3,1.0,32.0
42,2.0,1.0,3,2.0,81.0
43,2.0,1.0,3,3.0,60.0
44,2.0,1.0,3,4.0,29.0
45,2.0,1.0,3,5.0,21.0
46,2.0,4.0,2,1.0,10.0
47,2.0,4.0,2,2.0,21.0
48,2.0,4.0,2,3.0,16.0
49,2.0,4.0,3,0.0,40.0
50,2.0,4.0,3,1.0,53.0
51,2.0,4.0,3,2.0,138.0
52,2.0,4.0,3,3.0,105.0
53,2.0,4.0,3,4.0,30.0
54,2.0,4.0,3,5.0,25.0
55,2.0,4.0,3,6.0,10.0
56,2.0,4.0,3,99.0,19.0
57,2.0,5.0,2,2.0,16.0
58,2.0,5.0,2,3.0,23.0
59,2.0,5.0,2,4.0,15.0
60,2.0,5.0,2,99.0,38.0
61,2.0,5.0,3,0.0,11.0
62,2.0,5.0,3,1.0,13.0
63,2.0,5.0,3,2.0,31.0
64,2.0,5.0,3,3.0,27.0
65,2.0,5.0,3,4.0,19.0
66,2.0,5.0,3,99.0,40.0
67,2.0,6.0,1,1.0,49.0
68,2.0,6.0,1,2.0,168.0
69,2.0,6.0,1,3.0,87.0
70,2.0,6.0,1,4.0,17.0
71,2.0,6.0,1,5.0,13.0
72,2.0,6.0,1,99.0,12.0
73,2.0,6.0,2,0.0,17.0
74,2.0,6.0,2,1.0,79.0
75,2.0,6.0,2,2.0,197.0
76,2.0,6.0,2,3.0,71.0
77,2.0,6.0,2,4.0,26.0
78,2.0,6.0,2,5.0,14.0
79,2.0,6.0,2,99.0,19.0
80,2.0,6.0,3,0.0,82.0
81,2.0,6.0,3,1.0,348.0
82,2.0,6.0,3,2.0,814.0
83,2.0,6.0,3,3.0,328.0
84,2.0,6.0,3,4.0,96.0
85,2.0,6.0,3,5.0,56.0
86,2.0,6.0,3,6.0,22.0
87,2.0,6.0,3,99.0,71.0
88,2.0,8.0,2,2.0,11.0
89,2.0,8.0,2,3.0,16.0
90,2.0,8.0,3,0.0,39.0
91,2.0,8.0,3,1.0,10.0
92,2.0,8.0,3,2.0,82.0
93,2.0,8.0,3,3.0,60.0
