idx,State,Race,Births,State_code,PovPer
1,Alabama,1,4.331797235,0,5
2,Alabama,2,13.74441173,0,45
3,Alabama,3,8.419187445,0,17
4,Alaska,0,4.989059081,1,29
7,Alaska,3,4.394066611,1,7
8,Arizona,0,7.63315829,2,46
9,Arizona,1,4.398563734,2,13
10,Arizona,2,8.425414365,2,35
11,Arizona,3,7.026729126,2,13
14,Arkansas,2,10.81043956,3,46
15,Arkansas,3,6.77307003,3,19
16,California,0,4.971548368,4,29
17,California,1,4.731144421,4,11
18,California,2,8.158220025,4,36
19,California,3,5.043594517,4,11
21,Colorado,1,5.136379738,5,10
22,Colorado,2,7.851458886,5,31
23,Colorado,3,5.960995107,5,8
25,Connecticut,1,3.957783641,6,5
26,Connecticut,2,8.454810496,6,31
27,Connecticut,3,5.71158094,6,6
28,Delaware,1,5,7,1
29,Delaware,2,8.416905444,7,28
30,Delaware,3,7.167566072,7,10
32,District of Columbia,2,10.53693985,8,37
33,District of Columbia,3,4.583333333,8,2
35,Florida,1,6.526518274,9,13
36,Florida,2,11.62908968,9,38
37,Florida,3,7.437933334,9,14
39,Georgia,1,5.574694645,10,12
40,Georgia,2,10.91068888,10,39
41,Georgia,3,6.532881249,10,13
42,Hawaii,1,7.97513788,11,17
44,Hawaii,3,4.947622885,11,10
48,Idaho,3,5.685185185,12,15
50,Illinois,1,5.982736383,13,13
51,Illinois,2,11.5594174,13,43
52,Illinois,3,6.835639403,13,11
54,Indiana,1,3.654024052,14,19
55,Indiana,2,9.508970727,14,45
56,Indiana,3,6.295057914,14,16
58,Iowa,1,4.71042471,15,14
60,Iowa,3,6.671932745,15,12
63,Kansas,2,8.501194947,16,35
64,Kansas,3,6.174422332,16,12
67,Kentucky,2,9.404388715,17,46
68,Kentucky,3,7.809291451,17,23
70,Louisiana,1,4.935622318,18,13
71,Louisiana,2,13.22698305,18,48
72,Louisiana,3,7.792380902,18,13
76,Maine,3,5.03026686,19,17
78,Maryland,1,5.154091392,20,9
79,Maryland,2,10.25245331,20,20
80,Maryland,3,6.709400702,20,7
82,Massachusetts,1,4.098742431,21,10
83,Massachusetts,2,7.400938762,21,31
84,Massachusetts,3,6.031089945,21,8
86,Michigan,1,5.564964917,22,14
87,Michigan,2,11.50322668,22,47
88,Michigan,3,6.723674229,22,16
90,Minnesota,1,6.821454284,23,19
91,Minnesota,2,6.905273808,23,45
92,Minnesota,3,5.88375112,23,9
95,Mississippi,2,13.14161117,24,47
96,Mississippi,3,7.79251995,24,15
98,Missouri,1,5.527888446,25,13
99,Missouri,2,11.83290708,25,41
100,Missouri,3,6.573973638,25,16
101,Montana,0,8.817204301,26,45
104,Montana,3,5.82010582,26,15
106,Nebraska,1,4.555808656,27,8
108,Nebraska,3,6.067961165,27,10
110,Nevada,1,6.218487395,28,10
111,Nevada,2,11.06401963,28,38
112,Nevada,3,7.565861093,28,13
115,New Hampshire,3,5.332275692,29,12
117,New Jersey,1,6.078316774,30,6
118,New Jersey,2,10.36181755,30,28
119,New Jersey,3,6.621043145,30,8
120,New Mexico,0,6.055261611,31,44
123,New Mexico,3,6.6198453,31,15
124,New York,0,3.289473684,32,23
125,New York,1,5.547850208,32,22
126,New York,2,9.199245542,32,32
127,New York,3,6.132428795,32,14
128,North Carolina,0,7.306434024,33,39
129,North Carolina,1,5.029532844,33,13
130,North Carolina,2,11.17420083,33,37
131,North Carolina,3,6.734500302,33,13
135,North Dakota,3,4.942479761,34,9
137,Ohio,1,5.717791411,35,11
138,Ohio,2,11.8378683,35,48
139,Ohio,3,6.932386932,35,16
140,Oklahoma,0,7.946684663,36,25
141,Oklahoma,1,4.964539007,36,14
142,Oklahoma,2,10.30807983,36,43
143,Oklahoma,3,7.699773536,36,16
145,Oregon,1,3.007232585,37,17
147,Oregon,3,5.373428642,37,17
149,Pennsylvania,1,4.696053011,38,12
150,Pennsylvania,2,9.856743098,38,40
151,Pennsylvania,3,6.258817146,38,12
155,Rhode Island,3,6.062342425,39,11
157,South Carolina,1,4.309586631,40,10
158,South Carolina,2,12.22601072,40,43
159,South Carolina,3,6.937403277,40,15
160,South Dakota,0,8.916177256,41,57
163,South Dakota,3,5.22372309,41,9
165,Tennessee,1,4.26679745,42,15
166,Tennessee,2,10.82867311,42,45
167,Tennessee,3,6.881415121,42,18
169,Texas,1,6.263831425,43,12
170,Texas,2,10.53238253,43,32
171,Texas,3,7.261405702,43,11
175,Utah,3,5.77575022,44,8
178,Vermont,3,5.11513447,45,16
180,Virginia,1,5.430688859,46,7
181,Virginia,2,9.631354629,46,32
182,Virginia,3,5.91177618,46,10
184,Washington,1,5.831618152,47,13
186,Washington,3,5.756309638,47,12
189,West Virginia,3,8.179777627,48,23
191,Wisconsin,1,4.057879836,49,28
192,Wisconsin,2,9.814840596,49,49
193,Wisconsin,3,5.673733251,49,11
197,Wyoming,3,5.635202271,50,9
